address,business_certificate,business_id,business_name,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
1530 Haight St,319919,64660,Haight Street Market,SF,37.77,-122.448,1530 Market Street,San Francisco,"Haight Street Market, Inc. / Konstantinos Vardakastanis, George Vardakastanis, Bobby Vardakastanis",CA,94117,14155250643,92672,H08
888 Howard St 2nd Floor,424376,37167,InterContinental San Francisco Employee Cafeteria,SF,37.7817,-122.405,2041 Rosecrans Avenue P.O.Box 916,El Segundo,"CDC SF, LLC",CA,90245,null,94013,H25
888 Howard St 4th Floor,424376,37169,InterContinental San Francisco 4th Fl. Kitchen,SF,37.7817,-122.405,2041 Rosecrans Ave. P.O. Box 916,El Segundo,"CDC SF, LLC",CA,90245,null,94013,H24
101 Bayshore Blvd,478579,74674,Eli's Hot Dogs,SF,null,null,41 Lighthouse Lane,Daly City,Ann Yip,CA,94014,14155831168,94014,H79
428 11th St,476141,80829,Korean BobCha#2,san Francisco CA,null,null,776 Easton Ave,San Bruno,Seung Kyun Han,CA,94060,14155735897,94014,H79
101 Montgomery St Suite 101C,1013907,87059,Coffee Bar-Montgomery,null,null,null,"1890 Bryant Street, Suite 407",San Francisco,Coffee Bar Ventures,CA,94110,null,94014,H28
VARIOUS LOCATIONS,778599,5757,"RICO VENDING, INC",SAN BRUNO,null,null,2021 Willow Way,SAN BRUNO,"RICO VENDING, INC",CA,94066,14150586723,94066,H61
41 Montgomery St,457190,65856,Bamboo Asia,null,37.775,-122.418,139 Welsh Street #11,San Francisco,"Fusion Court, Inc. / Sebastian van de Rijt, Anjou Ahlborn",CA,94107,null,94101,H26
101 Montgomery St,1013487,83744,La Fromagerie,null,null,null,2425 3rd Street,San Francisco,"Cheese & More, Inc.",CA,94107,null,94101,H24
542A Mason St,316776,102,Akiko's Sushi Bar,San Francisco,37.7885,-122.41,542 Mason Street,San Francisco,Herman Chin,CA,94102,null,94102,H24
400 McAllister St,316211,134,Mint,San Francisco,37.7802,-122.419,400 MCALLISTER ST.,S.F.,"NASRA R NASRA R NASRA H, et al.",CA,94102,null,94102,H24
384 B Hayes St,111067,192,ARLEQUIN,S.F.,37.777,-122.422,450 GOUGH ST 2ND FL,SAN FRANCISCO,THE ABSINTHE GROUP INC,CA,94102,null,94102,H24
170 O'Farrell St Basement,360750,275,Ben & Jerry's,San Francisco,37.7865,-122.407,"170 O'Farrell St, Cellar",San Francisco,NYSF Partners LP,CA,94102,null,94102,H24
55 Cyril Magnin St,933713,695,BARBARY COAST PASTRY & COFFEE,SAN FRANCISCO,37.785,-122.409,421 Beach St,San Francisco,Bill Taing,CA,94133,null,94102,H24
248 HYDE St,328083,709,MONG THU COFFEE SHOP,SAN FRANCISCO,37.783,-122.416,248  Hyde St,San Francisco,"Nguyen, Kim Lien Thi",CA,94102,null,94102,H24
500 FELL St,329852,1031,IL BORGO,SF,37.7755,-122.426,500  Fell,SF,BELLA MAGGIA INC.,CA,94102,null,94102,H24
28 VAN NESS,349747,1139,MINI CAFE,SF,37.7759,-122.419,28 VAN NESS AVE,SF,"TAM, SIMON KIN MAN",CA,94102,14155430177,94102,H24
"170 O'Farrell St, 1st Floor",161649,1156,Boudin Petit Cafe,San Francisco,37.7865,-122.407,"170 O'Farrell St, 1st Floor",San Francisco,"Andre-Boudin Bakeries, Inc",CA,94102,null,94102,H24
305 TURK St,946943,1207,TAQUERIA LA PAZ,SAN FRANCISCO,37.7827,-122.414,305 TURK ST,SF,"VARGAS, ELOY",CA,94102,14155677550,94102,H24
284 O'Farrell St,395297,1232,Sunflower Cafe,San Francisco,37.7863,-122.409,284 O'Farrell St,San Francisco,Rashad O Sghayer & Sawsan Elfar,CA,94102,null,94102,H24
445 Geary St,454711,1235,Curran Theatre,San Francisco,37.787,-122.411,"1182 Market St, Suite 200",San Francisco,"COGG, LLC",CA,94102,null,94102,H86
156 EDDY St,929394,1351,EXIT THEATRE,SAN FRANCISCO,37.7843,-122.41,156 EDDY ST,SAN FRANCISCO,EXIT THEATRE INC.,CA,94102,null,94102,H24
131 GOUGH St,382793,1396,Sauce SF,SF,37.7746,-122.423,131 Gough St.,SF,Sauce LLC,CA,94102,null,94102,H24
1 HALLIDIE PLAZA,350309,1438,CABLE CAR COFFEE CO,SF,37.7837,-122.409,410 PIERCE ST APT #2,SAN FRANCISCO,ZERAI SIMON & ASEFAW MEHARI,CA,94117,null,94102,H24
235 Powell St,384285,1549,Cafe Bellini,San Francisco,37.787,-122.408,235 POWELL ST,SAN FRANCISCO,SEGA FOOD GROUP INC,CA,94102,null,94102,H25
696 Geary St,353408,1741,Osha Thai Noodle Cafe,San Francisco,37.7866,-122.415,696 GEARY ST.,SAN FRANCISCO,OSHA THAI INC.,CA,94102,null,94102,H25
136 McAllister St,375810,1742,McAllister Grocery & Deli,San Francisco,37.7809,-122.414,136 McAllister St,San Francisco,Brothers Market Enterprises Inc.,CA,94102,null,94102,H07
601 Sutter St,938813,1813,Cesario,San Francisco,37.7889,-122.411,601 Sutter St,San Francisco,Roxanne Sotano Inc,CA,94102,null,94102,H25
1 HALLIDIE PLAZA,149972,2094,CARL'S JUNIOR,SAN FRANCISCO,37.7837,-122.409,1 HALLIDIE PZ,SAN FRANCISCO,TWM INDUSTRIES,CA,94102,null,94102,H25
553 Geary St,129872,2104,Olympic Flame Cafe,San Francisco,37.7868,-122.412,553 Geary St,San Francisco,Louis Haras & Panagiota Charalabopoulos,CA,94102,null,94102,H25
