business_id,date,score,type
10,2016-05-03,82,Routine - Unscheduled
101,2016-05-25,98,Routine - Unscheduled
116,2016-05-27,76,Routine - Unscheduled
126,2016-05-10,,Complaint
132,2016-05-09,,Reinspection/Followup
132,2016-05-09,81,Routine - Unscheduled
140,2016-05-20,,Reinspection/Followup
187,2016-05-11,89,Routine - Unscheduled
221,2016-05-11,100,Routine - Unscheduled
226,2016-05-23,82,Routine - Unscheduled
234,2016-05-03,81,Routine - Unscheduled
239,2016-05-25,84,Routine - Unscheduled
247,2016-05-03,83,Routine - Unscheduled
247,2016-05-19,,Reinspection/Followup
272,2016-05-17,78,Routine - Unscheduled
272,2016-05-25,,Reinspection/Followup
279,2016-05-18,98,Routine - Unscheduled
305,2016-05-18,87,Routine - Unscheduled
337,2016-05-20,90,Routine - Unscheduled
420,2016-05-04,78,Routine - Unscheduled
420,2016-05-13,,Reinspection/Followup
421,2016-05-20,89,Routine - Unscheduled
430,2016-05-20,82,Routine - Unscheduled
431,2016-05-25,92,Routine - Unscheduled
462,2016-05-20,94,Routine - Unscheduled
468,2016-05-11,74,Routine - Unscheduled
483,2016-05-05,96,Routine - Unscheduled
488,2016-05-25,89,Routine - Unscheduled
489,2016-05-24,,Reinspection/Followup
494,2016-05-12,74,Routine - Unscheduled
510,2016-05-23,88,Routine - Unscheduled
552,2016-05-16,87,Routine - Unscheduled
552,2016-05-24,,Reinspection/Followup
606,2016-05-18,86,Routine - Unscheduled
606,2016-05-27,,Reinspection/Followup
619,2016-05-25,88,Routine - Unscheduled
628,2016-05-03,,Reinspection/Followup
796,2016-05-23,79,Routine - Unscheduled
798,2016-05-12,90,Routine - Unscheduled
798,2016-05-27,,Reinspection/Followup
843,2016-05-25,74,Routine - Unscheduled
847,2016-05-17,87,Routine - Unscheduled
876,2016-05-18,83,Routine - Unscheduled
891,2016-05-03,76,Routine - Unscheduled
892,2016-05-19,77,Routine - Unscheduled
892,2016-05-20,,Reinspection/Followup
952,2016-05-05,,Reinspection/Followup
972,2016-05-10,83,Routine - Unscheduled
972,2016-05-16,,Reinspection/Followup
972,2016-05-23,,Reinspection/Followup
1005,2016-05-02,84,Routine - Unscheduled
1005,2016-05-10,,Reinspection/Followup
1103,2016-05-19,,Complaint
1125,2016-05-27,96,Routine - Unscheduled
1151,2016-05-05,90,Routine - Unscheduled
1232,2016-05-23,98,Routine - Unscheduled
1243,2016-05-18,94,Routine - Unscheduled
1244,2016-05-23,72,Routine - Unscheduled
1244,2016-05-31,,Reinspection/Followup
1289,2016-05-25,,Structural Inspection
1399,2016-05-03,98,Routine - Unscheduled
1426,2016-05-09,67,Routine - Unscheduled
1426,2016-05-17,,Reinspection/Followup
1465,2016-05-31,94,Routine - Unscheduled
1469,2016-05-02,100,Routine - Unscheduled
1517,2016-05-20,,Reinspection/Followup
1532,2016-05-24,91,Routine - Unscheduled
1615,2016-05-04,98,Routine - Unscheduled
1617,2016-05-20,,Non-inspection site visit
1674,2016-05-24,,Reinspection/Followup
1685,2016-05-10,,Reinspection/Followup
1687,2016-05-25,,Complaint
1687,2016-05-25,96,Routine - Unscheduled
1703,2016-05-02,90,Routine - Unscheduled
1741,2016-05-20,92,Routine - Unscheduled
1764,2016-05-31,93,Routine - Unscheduled
1791,2016-05-12,86,Routine - Unscheduled
1829,2016-05-16,92,Routine - Unscheduled
1830,2016-05-03,,Reinspection/Followup
1836,2016-05-02,81,Routine - Unscheduled
1844,2016-05-20,92,Routine - Unscheduled
1852,2016-05-23,92,Routine - Unscheduled
1882,2016-05-17,,Complaint
1894,2016-05-18,94,Routine - Unscheduled
1936,2016-05-25,90,Routine - Unscheduled
1952,2016-05-16,87,Routine - Unscheduled
1952,2016-05-23,,Reinspection/Followup
1954,2016-05-06,91,Routine - Unscheduled
1954,2016-05-16,,Reinspection/Followup
1972,2016-05-05,,Reinspection/Followup
2027,2016-05-17,83,Routine - Unscheduled
2047,2016-05-31,88,Routine - Unscheduled
2050,2016-05-12,89,Routine - Unscheduled
2107,2016-05-06,92,Routine - Unscheduled
2233,2016-05-24,85,Routine - Unscheduled
2234,2016-05-31,71,Routine - Unscheduled
2240,2016-05-31,79,Routine - Unscheduled
2256,2016-05-06,,New Construction
2256,2016-05-18,76,Routine - Unscheduled
2256,2016-05-31,,Reinspection/Followup
2263,2016-05-18,61,Routine - Unscheduled
2263,2016-05-31,,Reinspection/Followup
